id,round_id,home_team_id,away_team_id,kickoff,home_score,away_score,status,odds_home,odds_draw,odds_away,odds_updated_at,created_at,is_third_place,pens_winner_id,match_number,venue,confirmed,elapsed_minutes,api_status,odds_home_prev,odds_draw_prev,odds_away_prev,expected_home_score,expected_away_score
0ef4fa94-95e2-4f21-bf22-2dbd50f2426c,aa9754bd-50eb-4785-8698-e56c6d3cb661,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,fcc03c57-8857-4986-98b0-0e30fb42ab2a,2026-07-09 20:00:00+00,2,0,complete,1.57,3.80,6.00,,2026-04-19 19:45:22.650156+00,false,,97,Boston,true,,FINISHED,1.57,3.7,5.8,,
15148b9f-4d4c-40b4-8905-e533ff0ca8d4,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,910a4a31-591d-4c32-8b57-b0d0bbde5a26,a1cbc3f2-826a-4c04-803b-b5c2930d3c42,2026-06-15 02:00:00+00,5,1,complete,1.91,3.25,4.00,,2026-04-14 18:08:42.801797+00,false,,12,Monterrey,true,,FINISHED,,,,,
15a9d048-eb7c-464c-8034-cb2e8508bc61,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,6527ec07-bc6b-4b53-8bff-90b6f622aece,8682004e-e186-4705-aa29-9704b2815dc4,2026-07-07 00:00:00+00,1,4,complete,2.50,3.25,2.62,,2026-04-19 19:45:22.650156+00,false,,94,Seattle,true,,FINISHED,2.6,3.3,2.6,,
1aa10d87-0313-4753-98b0-d24ab8bb444c,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,6527ec07-bc6b-4b53-8bff-90b6f622aece,c8e5c035-af92-4497-b96c-82f2c0a15214,2026-06-13 01:00:00+00,4,1,complete,2.00,3.20,3.70,,2026-04-14 18:08:42.801797+00,false,,4,Los Angeles,true,,FINISHED,,,,,
1e0e13f8-56b5-42c1-bd5a-8530c015553c,5f39c536-340b-4981-b59a-4a9d7aff9e1e,f99d6725-238c-4d95-8502-9d25b4a6e89e,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,2026-07-03 18:00:00+00,1,1,complete,3.40,2.88,2.30,,2026-04-19 19:45:29.973987+00,false,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,88,Dallas,true,,FINISHED_PENS_AWAY,3.2,2.8,2.4,,
1f013a7e-8052-415d-8090-99a4cfba5780,5f39c536-340b-4981-b59a-4a9d7aff9e1e,cffa413c-8c76-45a6-843e-87c34e78e45a,c8e5c035-af92-4497-b96c-82f2c0a15214,2026-06-29 20:30:00+00,1,1,complete,1.36,4.75,8.00,,2026-04-19 19:45:29.973987+00,false,c8e5c035-af92-4497-b96c-82f2c0a15214,74,Boston,true,,FINISHED_PENS_AWAY,1.35,4.8,8,,
1fd593cc-3f89-4335-8c34-1d4183911037,5f39c536-340b-4981-b59a-4a9d7aff9e1e,2044181c-c7e7-4759-8101-4779166812e3,fcc03c57-8857-4986-98b0-0e30fb42ab2a,2026-06-30 01:00:00+00,1,1,complete,2.30,3.00,3.10,,2026-04-19 19:45:22.650156+00,false,fcc03c57-8857-4986-98b0-0e30fb42ab2a,75,Monterrey,true,,FINISHED_PENS_AWAY,2.25,3,3.3,,
1fecd180-a5d7-4da8-bf23-72d2c4e5c280,2fd614f4-1aa7-43d5-beeb-be06f5530a85,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,2026-07-18 21:00:00+00,4,6,complete,,,,,2026-04-19 19:45:22.650156+00,true,,103,Miami,true,,FINISHED,,,,,
236c08bc-7541-4651-8d66-87c6d653553a,5f39c536-340b-4981-b59a-4a9d7aff9e1e,54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,20e98c7a-4548-44f8-964d-7aba42ae7624,2026-06-30 17:00:00+00,1,2,complete,3.50,3.40,2.05,,2026-04-19 19:45:29.973987+00,false,,78,Dallas,true,,FINISHED,3.6,3.4,2,,
24a55af4-cc2c-4c75-a9c3-f0ba07f8965e,5b9456a0-db45-445f-87a0-58737bb89313,fcc03c57-8857-4986-98b0-0e30fb42ab2a,7f560d60-00fc-46e1-b81b-4e7234b7cb04,2026-06-24 22:00:00+00,4,2,complete,1.17,6.50,17.00,,2026-04-14 18:08:42.801797+00,false,,50,Atlanta,true,,FINISHED,1.18,6.5,15,3,0
